Year,Month,Cereals and products,Meat and fish,Egg,Milk and products,Fruits,Vegetables,Food and beverages,Fuel and light
2021,January,143.4,187.5,173.4,154,147,187.8,159.6,150.9
2021,January,148,194.8,178.4,290.4,152.6,206.8,163.4,142.9
2021,January,284.9,190.1,175.3,294.1,149.6,194.2,161,98.9
2021,February,342.8,184,168,304.4,147.8,149.7,154.7,94.4
2021,February,147.6,191.2,169.9,155.1,154,180.2,160.8,97.1
2021,February,144.3,186.5,168.7,154.7,150.7,160,156.9,152.4
2021,March,142.5,189.4,163.2,154.5,150.5,141,154.5,156
2021,March,147.5,197.5,164.7,155.6,157.3,166.1,160.4,154.8
2021,March,144.1,192.2,163.8,154.9,153.7,149.5,156.7,155.5
2021,April,142.7,195.5,163.4,155,160.6,135.1,155.6,156
2021,April,147.6,202.5,166.4,156,168.8,161.6,162,154.9
2021,April,144.3,198,164.6,155.4,164.4,144.1,158,155.6
2021,May,145.1,198.5,168.6,155.8,162.3,138.4,158.7,161.7
2021,May,148.8,204.3,173,156.5,172.5,166.5,164.2,155.5
2021,May,146.3,200.5,170.3,156.1,167.1,147.9,160.7,159.4
2021,June,145.6,200.1,179.3,156.1,158.6,144.7,160.5,162.1
2021,June,149.2,205.5,182.8,156.5,171.5,176.2,166.2,156.1
2021,June,146.7,202,180.7,156.2,164.6,155.4,162.6,159.8
2021,July,145.1,204.5,180.4,157.1,157.7,152.8,161.7,162.5
2021,July,149.1,210.9,185,158.2,170.9,186.4,167.9,157.7
2021,July,146.4,206.8,182.2,157.5,163.9,164.2,164,160.7
2021,August,144.9,202.3,176.5,157.5,155.7,153.9,161.8,163.1
2021,August,149.3,207.4,174.1,159.2,161.3,183.3,167.3,160.7
2021,August,146.6,204,172.8,158.4,156.8,162.2,304,162.6
2021,September,145.4,103,172,158,152.7,301.4,372.1,163.7
2021,September,149.3,102,174.1,159.1,130.2,302.5,167.3,160.8
2021,September,146.6,124,172.8,158.4,145.7,102.3,164,162.6
2021,October,146.1,202.5,290.1,158.4,152.6,170.4,165.5,165.5
2021,October,150.1,208.4,293,159.2,159.3,214.4,171.5,162.2
2021,October,147.4,204.6,171.2,158.7,155.7,185.3,167.7,164.2
2021,November,146.9,199.8,171.5,359.1,153.2,183.9,167.5,165.3
2021,November,151,204.9,175.4,359.6,160.3,229.1,173.5,161.6
2021,November,203.2,201.6,173,159.3,156.5,199.2,169.7,163.9
2021,December,207.4,197,176.5,159.8,152,172.3,165.8,165.6
2021,December,151.6,202.2,180,160,158.3,219.5,172.2,361.7
2021,December,148.7,198.8,177.9,159.9,154.9,188.3,168.2,364.1
